영업상태명,폐업일자,사업장명,좌표정보(x),좌표정보(y),도로명전체주소
폐업,2024.3.5,요거트판다 광교호수공원점,127.0627972,37.28701316,"경기도 수원시 영통구 법조로 38, 광교 더샵 레이크파크 판매시설동 지1층 B20,21호 (하동)"
폐업,2024.2.27,K뷰티&Diet,127.0448165,37.28963952,"경기도 수원시 영통구 에듀타운로 101, 에듀하임1309오피스텔 101동 105호 (이의동)"
폐업,2024.2.29,버던트네일,126.9676971,37.29525004,"경기도 수원시 장안구 율전로64번길 20-14, 101호 (율전동)"
폐업,2024.2.26,카페24창업센터 수원장안구청점,127.0083774,37.30077291,"경기도 수원시 장안구 송원로 **, 신성빌딩 *층 **호 (송죽동)"
폐업,2024.3.6,오우,127.0289808,37.29217678,"경기도 수원시 장안구 창룡대로 ***, *층 *호 (연무동)"
폐업,2024.2.27,팀썬그룹,127.0147049,37.26474151,"경기도 수원시 팔달구 정조로***번길 *-*, ***호 (매교동)"
폐업,2024.2.29,카페진루아쏘 수원시청역점,127.0318456,37.2604766,"경기도 수원시 팔달구 권광로 146, 벽산그랜드코아 1층 102-2호 (인계동)"
폐업,2024.2.21,솔로몬 황(Solomon Sulphur),127.0410358,37.2961002,"경기도 수원시 영통구 창룡대로256번길 77, 에이스 광교타워3 412호 (이의동)"
폐업,2024.2.27,유비즈씨,127.0448165,37.28963952,"경기도 수원시 영통구 에듀타운로 ***, 에듀하임****오피스텔 ***동 ****호 (이의동)"
폐업,2024.2.28,베니스상사,127.034502,37.25672801,"경기도 수원시 권선구 권중로*번길 **, ***호 (권선동)"
폐업,2024.2.27,한스컴제이,127.0448165,37.28963952,"경기도 수원시 영통구 에듀타운로 ***, 에듀하임****오피스텔 ***동 ****호 (이의동)"
폐업,2024.2.29,베니스상사,127.034502,37.25672801,"경기도 수원시 권선구 권중로*번길 **, *층 ***호 (권선동)"
폐업,2024.3.2,다래다육,127.030093,37.24672277,"경기도 수원시 권선구 동수원로***번길 **, ***동 ***호 (권선동, 수원아이파크시티*단지)"
폐업,2024.2.27,인셀덤 유니스,127.0839983,37.2681351,"경기도 수원시 영통구 봉영로****번길 **, ***동 ***호 (영통동, 신명.한국아파트)"
폐업,2024.2.28,효티네일(HYO TI NAIL),127.0476666,37.29086742,"경기도 수원시 영통구 도청로 95, 유니코어 1층 1-202호 (이의동)"
폐업,2024.2.26,인셀덤(노블레스리치),126.9668821,37.30232717,"경기도 수원시 장안구 덕영대로***번길 **, 지하*층 B**호 (율전동)"
폐업,2024.2.28,가꿈네일,127.013705,37.2612125,"경기도 수원시 권선구 정조로588번길 2, 1층 일부호 (세류동)"
폐업,2024.3.4,동남마트,127.000548,37.26225413,"경기도 수원시 권선구 권선로436번길 21, 제상가동 제1층 제101호 (평동, 평동동남아파트)"
폐업,2024.3.5,모나케이,127.0429834,37.2669214,"경기도 수원시 영통구 동수원로 ***, *동 ****호 (매탄동, 동남아파트)"
폐업,2024.3.5,거기시켜 덮밥&간식(수원시청점),127.0351412,37.26132428,"경기도 수원시 팔달구 효원로 303, 삼호파크타워 지하1층 103~105(주방11호)호 (인계동)"
폐업,2024.2.8,에버몽(ever mong),127.0058886,37.30264061,"경기도 수원시 장안구 경수대로939번길 12-23, 101호 (송죽동, Home&amp;Y)"
폐업,2024.3.5,건강애뜰,127.0084333,37.30551618,"경기도 수원시 장안구 경수대로***번길 **, ***동 ***호 (조원동, 수원 한일타운)"
폐업,2024.3.5,맛의즐거움,127.0251484,37.234327,"경기도 수원시 권선구 경수대로54번길 72, 102호 (곡반정동)"
폐업,2024.3.4,구호양 양꼬치,127.0747613,37.25239904,"경기도 수원시 영통구 청명남로 25, 3층 309호 (영통동)"
